Timing,Site,Bag,Shell,Oyster,Height_mm,Length_mm,Dead.Alive
Deployment,Wagon Hill Farm,13,1,2,22,20,
Deployment,Wagon Hill Farm,13,1,3,31,15,
Deployment,Wagon Hill Farm,13,1,4,7,5,
Deployment,Wagon Hill Farm,13,1,5,15,12,
Deployment,Wagon Hill Farm,13,1,6,14,10,
Deployment,Wagon Hill Farm,13,1,7,15,12,
Deployment,Wagon Hill Farm,13,1,8,16,15,
Deployment,Wagon Hill Farm,13,1,9,13,12,
Deployment,Wagon Hill Farm,13,2,1,20,18,
Deployment,Wagon Hill Farm,13,2,2,14,10,
Deployment,Wagon Hill Farm,13,2,3,10,8,
Deployment,Wagon Hill Farm,13,3,1,25,19,
Deployment,Wagon Hill Farm,13,3,2,24,20,
Deployment,Wagon Hill Farm,13,3,3,26,23,
Deployment,Wagon Hill Farm,13,3,4,20,15,
Deployment,Wagon Hill Farm,13,3,5,30,17,
Deployment,Wagon Hill Farm,13,4,1,25,16,
Deployment,Wagon Hill Farm,13,4,2,17,14,
Deployment,Wagon Hill Farm,13,4,3,16,13,
Deployment,Wagon Hill Farm,13,5,1,16,10,
Deployment,Wagon Hill Farm,13,5,2,20,12,
Deployment,Wagon Hill Farm,13,5,3,21,14,
Deployment,Wagon Hill Farm,13,6,1,26,15,
Deployment,Wagon Hill Farm,13,6,2,20,13,
Deployment,Wagon Hill Farm,13,6,3,8,7,
Deployment,Wagon Hill Farm,14,1,1,16,10,
Deployment,Wagon Hill Farm,14,1,2,14,10,
Deployment,Wagon Hill Farm,14,1,3,16,10,
Deployment,Wagon Hill Farm,14,1,4,21,20,
Deployment,Wagon Hill Farm,14,1,5,29,28,
Deployment,Wagon Hill Farm,14,1,6,18,10,
Deployment,Wagon Hill Farm,14,1,7,15,8,
Deployment,Wagon Hill Farm,14,1,8,10,7,
Deployment,Wagon Hill Farm,14,2,1,16,14,
Deployment,Wagon Hill Farm,14,2,2,17,13,
Deployment,Wagon Hill Farm,14,3,1,10,11,
Deployment,Wagon Hill Farm,14,4,1,23,16,
Deployment,Wagon Hill Farm,14,5,1,26,20,
Deployment,Wagon Hill Farm,14,5,2,18,16,
Deployment,Wagon Hill Farm,14,5,3,15,12,
Deployment,Wagon Hill Farm,14,5,4,10,12,
Deployment,Wagon Hill Farm,14,5,5,1,10,
Deployment,Wagon Hill Farm,14,6,1,21,10,
Deployment,Wagon Hill Farm,14,6,2,20,16,
Deployment,Wagon Hill Farm,14,6,3,10,9,
Deployment,Wagon Hill Farm,14,6,4,20,16,
Deployment,Wagon Hill Farm,15,1,1,21,11,
Deployment,Wagon Hill Farm,15,1,2,27,21,
Deployment,Wagon Hill Farm,15,1,3,20,15,
Deployment,Wagon Hill Farm,15,1,4,22,15,
Deployment,Wagon Hill Farm,15,1,5,18,15,
Deployment,Wagon Hill Farm,15,1,6,25,17,
Deployment,Wagon Hill Farm,15,2,1,26,14,
Deployment,Wagon Hill Farm,15,2,2,10,8,
Deployment,Wagon Hill Farm,15,2,3,19,18,
Deployment,Wagon Hill Farm,15,2,4,25,14,
Deployment,Wagon Hill Farm,15,3,1,26,13,
Deployment,Wagon Hill Farm,15,3,2,26,12,
Deployment,Wagon Hill Farm,15,3,3,27,24,
Deployment,Wagon Hill Farm,15,3,4,25,24,
Deployment,Wagon Hill Farm,15,3,5,30,27,
Deployment,Wagon Hill Farm,15,3,6,19,17,
Deployment,Wagon Hill Farm,15,3,7,20,18,
Deployment,Wagon Hill Farm,15,4,1,25,18,
Deployment,Wagon Hill Farm,15,4,2,25,17,
Deployment,Wagon Hill Farm,15,4,3,8,13,
Deployment,Wagon Hill Farm,15,4,4,15,10,
Deployment,Wagon Hill Farm,15,5,1,25,18,
Deployment,Wagon Hill Farm,15,5,2,16,15,
