system:index,B,G,N,R,training_poly,.geo
189,117.0,114.0,100.0,103.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78724888019468,43.09960875503668]}"
190,124.0,122.0,141.0,112.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78724888019468,43.099554856119624]}"
191,109.0,107.0,48.0,89.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86187193084649,43.05880727483196]}"
192,131.0,129.0,140.0,110.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86356076358064,43.08278330976511]}"
193,133.0,128.0,133.0,109.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86178209931808,43.058798291679125]}"
194,125.0,122.0,124.0,104.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.88529101030349,43.06012779829962]}"
195,138.0,143.0,126.0,134.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86366856141473,43.08251381517988]}"
196,130.0,123.0,138.0,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86251871785106,43.07206640842557]}"
197,119.0,117.0,92.0,98.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7463216358502,43.07635137233082]}"
198,151.0,152.0,118.0,139.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90310460238757,43.07322523514208]}"
199,111.0,105.0,65.0,97.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78725786334752,43.099626721342354]}"
200,131.0,145.0,160.0,109.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83499433754564,43.18539786467009]}"
201,125.0,144.0,152.0,107.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84086033635093,43.052123809118115]}"
202,152.0,180.0,175.0,161.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75128033621854,43.04895275616517]}"
203,134.0,154.0,169.0,125.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8350751859212,43.185433797281455]}"
204,126.0,153.0,146.0,118.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90314951815178,43.05681301490122]}"
205,127.0,146.0,178.0,107.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83504823646268,43.185676342408165]}"
206,144.0,169.0,172.0,142.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86120717753624,43.16904852649911]}"
207,144.0,155.0,135.0,142.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84071660590547,43.068077888564076]}"
208,144.0,166.0,175.0,139.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75140610035831,43.048791059414036]}"
209,144.0,163.0,162.0,145.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75122643730148,43.0488269920254]}"
210,147.0,162.0,155.0,154.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.75145101612252,43.049132419222]}"
211,136.0,153.0,144.0,126.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90303273716485,43.0566333518444]}"
212,130.0,149.0,120.0,131.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7338709860123,43.0622388392173]}"
213,128.0,149.0,155.0,115.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83527281528372,43.18545176358713]}"
214,138.0,159.0,146.0,133.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93407851338402,43.024554513048486]}"
215,117.0,129.0,136.0,94.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83489552286439,43.18546074673998]}"
216,140.0,169.0,157.0,139.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93407851338402,43.02470722664679]}"
217,139.0,157.0,146.0,139.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8617012509425,43.1689586949707]}"
218,131.0,142.0,129.0,119.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.76624626885197,43.08449010880494]}"
219,144.0,164.0,166.0,142.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83468891034903,43.1854876961985]}"
220,112.0,129.0,115.0,98.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84068067329412,43.06798805703567]}"
221,144.0,158.0,138.0,141.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73983579949885,43.04854851428732]}"
222,130.0,146.0,100.0,136.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7337631881782,43.061987310937745]}"
